iteration,total_timesteps,loss,approx_kl,explained_variance,entropy_loss,learning_rate
1,8192,0,0,0,0,<function linear_schedule.<locals>.func at 0x0000020697778720>
2,16384,0.8544310331344604,0.0075152414,0.009179174900054932,-9.926114863157272,<function linear_schedule.<locals>.func at 0x0000020697778720>
3,24576,3682.232177734375,0.0010241163,0.09415751695632935,-9.933721002936363,<function linear_schedule.<locals>.func at 0x0000020697778720>
4,32768,7990.78369140625,0.00074951875,0.2159479260444641,-9.933928179740906,<function linear_schedule.<locals>.func at 0x0000020697778720>
5,40960,6073.16845703125,0.0017786184,0.24593818187713623,-9.933959531784058,<function linear_schedule.<locals>.func at 0x0000020697778720>
6,49152,6708.25244140625,0.002411661,0.03716546297073364,-9.933655419945717,<function linear_schedule.<locals>.func at 0x0000020697778720>
7,57344,6881.96044921875,0.002751559,0.23726719617843628,-9.93315098285675,<function linear_schedule.<locals>.func at 0x0000020697778720>
8,65536,7818.20947265625,0.0033507359,0.4285581111907959,-9.936235064268113,<function linear_schedule.<locals>.func at 0x0000020697778720>
9,73728,14608.74609375,0.0036519193,0.6070366203784943,-9.937041273713112,<function linear_schedule.<locals>.func at 0x0000020697778720>
10,81920,1070.7987060546875,0.0039324616,0.4421364665031433,-9.95945742726326,<function linear_schedule.<locals>.func at 0x0000020697778720>
11,90112,82.09268188476562,0.006141885,0.667899489402771,-9.980376769602298,<function linear_schedule.<locals>.func at 0x0000020697778720>
12,98304,606.9246826171875,0.0053358665,0.4798346161842346,-9.984513334929943,<function linear_schedule.<locals>.func at 0x0000020697778720>
13,106496,1945.9822998046875,0.0064439126,0.6418275833129883,-10.01214053928852,<function linear_schedule.<locals>.func at 0x0000020697778720>
14,114688,7600.90234375,0.005300247,0.7102193534374237,-10.03138152807951,<function linear_schedule.<locals>.func at 0x0000020697778720>
15,122880,6422.26171875,0.0046501365,0.6024929285049438,-10.051299488544464,<function linear_schedule.<locals>.func at 0x0000020697778720>
16,131072,6693.7958984375,0.00620218,0.6444793045520782,-10.05814636349678,<function linear_schedule.<locals>.func at 0x0000020697778720>
17,139264,4456.24658203125,0.0058435686,0.6641010642051697,-10.07034703940153,<function linear_schedule.<locals>.func at 0x0000020697778720>
18,147456,5497.314453125,0.0058763493,0.58241206407547,-10.081091679632664,<function linear_schedule.<locals>.func at 0x0000020697778720>
19,155648,5005.25732421875,0.00496084,0.6054452061653137,-10.07716013044119,<function linear_schedule.<locals>.func at 0x0000020697778720>
20,163840,4965.76171875,0.0050581032,0.6162445843219757,-10.065922556817531,<function linear_schedule.<locals>.func at 0x0000020697778720>
21,172032,3930.9404296875,0.0069500646,0.7015615701675415,-10.022208046913146,<function linear_schedule.<locals>.func at 0x0000020697778720>
22,180224,5710.02978515625,0.005450899,0.7293262481689453,-10.01631007641554,<function linear_schedule.<locals>.func at 0x0000020697778720>
23,188416,4137.748046875,0.0062612314,0.7200325727462769,-10.034738996624947,<function linear_schedule.<locals>.func at 0x0000020697778720>
24,196608,5681.32373046875,0.0063972697,0.6864328980445862,-10.051715824007989,<function linear_schedule.<locals>.func at 0x0000020697778720>
25,204800,6255.75390625,0.0049029025,0.7650862038135529,-10.059708622097968,<function linear_schedule.<locals>.func at 0x0000020697778720>
26,212992,169.29782104492188,0.0058776108,0.8934128656983376,-10.079588776826858,<function linear_schedule.<locals>.func at 0x0000020697778720>
27,221184,15.848504066467285,0.008461774,0.9734856337308884,-10.094079707562923,<function linear_schedule.<locals>.func at 0x0000020697778720>
28,229376,7.782625675201416,0.006629985,0.9630876071751118,-10.120150782167912,<function linear_schedule.<locals>.func at 0x0000020697778720>
29,237568,143.28956604003906,0.0074697877,0.936965249478817,-10.139383101463318,<function linear_schedule.<locals>.func at 0x0000020697778720>
30,245760,3.3015191555023193,0.0071158805,0.9855636861175299,-10.154490907490253,<function linear_schedule.<locals>.func at 0x0000020697778720>
31,253952,323.8555908203125,0.005670173,0.9643881618976593,-10.158959954977036,<function linear_schedule.<locals>.func at 0x0000020697778720>
32,262144,108.35770416259766,0.0063842703,0.9894531471654773,-10.164049915969372,<function linear_schedule.<locals>.func at 0x0000020697778720>
33,270336,2.3196675777435303,0.008357446,0.9991863680188544,-10.150163348019124,<function linear_schedule.<locals>.func at 0x0000020697778720>
34,278528,2.3562939167022705,0.007529655,0.99951016693376,-10.112678138911724,<function linear_schedule.<locals>.func at 0x0000020697778720>
35,286720,95.94920349121094,0.0059688133,0.9871403677389026,-10.101922613382339,<function linear_schedule.<locals>.func at 0x0000020697778720>
36,294912,166.66012573242188,0.0063270354,0.9579048417508602,-10.103855359554291,<function linear_schedule.<locals>.func at 0x0000020697778720>
37,303104,2272.51171875,0.004817291,0.9507120028138161,-10.108515819907188,<function linear_schedule.<locals>.func at 0x0000020697778720>
38,311296,4380.9677734375,0.005276081,0.9387876614928246,-10.120974484086037,<function linear_schedule.<locals>.func at 0x0000020697778720>
39,319488,3671.844482421875,0.005353907,0.9431838691234589,-10.119629499316215,<function linear_schedule.<locals>.func at 0x0000020697778720>
40,327680,3966.050048828125,0.0051728236,0.9321236610412598,-10.131678527593612,<function linear_schedule.<locals>.func at 0x0000020697778720>
41,335872,3639.7685546875,0.0049063005,0.9243116974830627,-10.171536327898503,<function linear_schedule.<locals>.func at 0x0000020697778720>
42,344064,4804.47998046875,0.005339099,0.9187716245651245,-10.197532802820206,<function linear_schedule.<locals>.func at 0x0000020697778720>
43,352256,3346.824951171875,0.0056527583,0.8245157301425934,-10.15849262624979,<function linear_schedule.<locals>.func at 0x0000020697778720>
